18	TOTAL18	NONE18	DAT18	DLYA18	NONE 18%	DAT 18%	DLYA18 %	TOTAL21	NONE21	DAT21	DLYA21	NONE21 %	DAT21%	DLYA21%	TOTAL18ipm	TOTAL21ipm	D.TOTAL	Ñéãü àáåÖçÖçàâ	0åàçìë,1èãûë	D.NONE%	D.DAT%	D.DLYA%
IZVESTNY_JJ	395	314	81	0	79,49367089	20,50632911	0	986	876	110	0	88,84381339	11,15618661	0	106,76	60,86	-45,89	0,43	0	9,35	-9,35	0,00
IZVESTNY_PRED	458	280	178	0	61,13537118	38,86462882	0	663	495	168	0	74,66063348	25,33936652	0	123,78	40,93	-82,86	0,67	0	13,53	-13,53	0,00
IZVESTNY_SHJJ	311	162	149	0	52,09003215	47,90996785	0	356	261	95	0	73,31460674	26,68539326	0	84,05	21,98	-62,08	0,74	0	21,22	-21,22	0,00
NADOBNY_JJ	42	26	12	4	61,9047619	28,57142857	9,523809524	330	258	64	8	78,18181818	19,39393939	2,424242424	11,35	20,37	9,02	0,79	1	16,28	-9,18	-7,10
NADOBNY_PRED	1246	913	263	70	73,27447833	21,10754414	5,617977528	1443	1124	277	42	77,89327789	19,1961192	2,910602911	336,76	89,07	-247,68	0,74	0	4,62	-1,91	-2,71
NADOBNY_SHJJ	221	108	88	25	48,86877828	39,81900452	11,31221719	1255	405	752	98	32,27091633	59,92031873	7,80876494	59,73	77,47	17,74	0,30	1	-16,60	20,10	-3,50
NUZHNY_COMPJJ	25	14	5	6	56	20	24	1	0	0	0	0	0	0	6,76	0,06	-6,70	0,99	0	-56,00	-20,00	-24,00
NUZHNY_PRED	184	115	42	27	62,5	22,82608696	14,67391304	1443	1124	277	42	77,89327789	19,1961192	2,910602911	49,73	89,07	39,34	0,79	1	15,39	-3,63	-11,76
NUZHNY_SHJJ	346	151	92	103	43,6416185	26,58959538	29,76878613	1255	405	752	98	32,27091633	59,92031873	7,80876494	93,51	77,47	-16,04	0,17	0	-11,37	33,33	-21,96
NUZNY_JJ	528	422	26	80	79,92424242	4,924242424	15,15151515	330	258	64	8	78,18181818	19,39393939	2,424242424	142,70	20,37	-122,33	0,86	0	-1,74	14,47	-12,73
PLOXOY_ADV	22	22	0	0	100	0	0	353	353	0	0	100	0	0	5,95	21,79	15,84	2,66	1	0,00	0,00	0,00
PLOXOY_COMPJJ	172	168	3	1	97,6744186	1,744186047	0,581395349	321	296	23	2	92,21183801	7,165109034	0,62305296	46,49	19,81	-26,67	0,57	0	-5,46	5,42	0,04
PLOXOY_JJ	17	17	0	0	100	0	0	284	284	0	0	100	0	0	4,59	17,53	12,94	2,82	1	0,00	0,00	0,00
PLOXOY_SHJJ	27	26	0	1	96,2962963	0	3,703703704	125	125	0	0	100	0	0	7,30	7,72	0,42	0,06	1	3,70	0,00	-3,70
POLEZNY_COMPJJ	79	52	16	11	65,82278481	20,25316456	13,92405063	18	12	1	5	66,66666667	5,555555556	27,77777778	21,35	1,11	-20,24	0,95	0	0,84	-14,70	13,85
POLEZNY_JJ	532	396	79	57	74,43609023	14,84962406	10,71428571	921	854	5	62	92,72529859	0,542888165	6,731813246	143,78	56,85	-86,93	0,60	0	18,29	-14,31	-3,98
POLEZNY_PRED	76	53	10	13	69,73684211	13,15789474	17,10526316	174	141	19	14	81,03448276	10,91954023	8,045977011	20,54	10,74	-9,80	0,48	0	11,30	-2,24	-9,06
POLEZNY_SHJJ	290	150	93	47	51,72413793	32,06896552	16,20689655	207	163	15	29	78,74396135	7,246376812	14,00966184	78,38	12,78	-65,60	0,84	0	27,02	-24,82	-2,20
PONYATNY_JJ	18	8	5	5	44,44444444	27,77777778	27,77777778	322	254	45	23	78,88198758	13,97515528	7,142857143	4,86	19,88	15,01	3,09	1	34,44	-13,80	-20,63
PONYATNY_SHJJ	34	15	16	3	44,11764706	47,05882353	8,823529412	426	356	68	2	83,56807512	15,96244131	0,469483568	9,19	26,30	17,11	1,86	1	39,45	-31,10	-8,35
